id,chat,message_id,date,url,views,reaction_count,reaction_breakdown,text,sender_id,label
jungenationalisten:4679,jungenationalisten,4679,2025-11-21T20:10:21+00:00,https://t.me/jungenationalisten/4679,2906,64,"{""❤"": 54, ""👍"": 7, ""👏"": 2, ""🔥"": 1}","Jugend aus MuP zu uns!
@jungenationalisten

In einer Zeit des Zerfalls unserer Heimat durch fehlgeleitete Politik, stehen wir in der Pflicht aktiv zu werden und eine gesunde Ordnung wieder herzustellen!
Gemeinschaft, Bildung und Aktivismus bilden die Säulen, welche unsere Bewegung tragen - das Fundament darunter besteht allerdings aus jeden Einzelnen!

Werde auch du aktiv, bewahre deine Heimat, schütze unsere Ideale und Traditionen.

JN MuP:
Folgt uns bei Telegram",-1001180598066,
jungenationalisten:4669,jungenationalisten,4669,2025-11-21T11:20:00+00:00,https://t.me/jungenationalisten/4669,1965,70,"{""❤"": 41, ""👍"": 23, ""🔥"": 6}","Heimat erleben, Gemeinschaft stärken – Unsere Wanderung durchs Herz Mittelsachsens!
@jungenationalisten 🇩🇪 
@heimatsachsen ⚙️ 

Nicht nur unsere Schulungen und unser Aktivismus auf der Straße prägen uns als politische Organisation. Ebenso tief verwurzelt in unserer Weltanschauung ist die Verbundenheit mit unserer Heimat und ihrer Natur. Genau aus diesem Grund nutzten wir den vergangenen Buß- und Bettag – der in Sachsen als Feiertag begangen wird – für eine gemeinsame Wanderung durch die beeindruckende Landschaft Mittelsachsens.

Schon am frühen Vormittag starteten wir unsere Wanderung in der Region um Kriebethal und Kriebstein, einem Gebiet, das wie geschaffen ist, um Abstand vom Alltag zu gewinnen. Die Route führte uns durch stille Waldabschnitte, entlang der Zschopau und vorbei an historischen Bauwerken, die sich malerisch in die Landschaft einfügen. Besonders die Umgebung der Burg Kriebstein, die majestätisch über dem Wasser thront, bot gleich mehrere eindrucksvolle Momente.

Während wir durch die herbstliche Natur streiften, ergaben sich viele anregende Gespräche – über das Leben, die Gesellschaft, unsere Aufgaben und natürlich über das, was uns verbindet: die Liebe zu unserer Heimat. Die Ruhe des Waldes, das Rascheln des Laubs und die gemeinsame Bewegung taten ihr Übriges, um uns vom täglichen Stress zu lösen und uns als Gemeinschaft noch stärker zusammenwachsen zu lassen.

Folge uns auf Telegram, denn wir vernetzen und informieren den Widerstand: 
https://t.me/WiderstandinAktion",-1001180598066,
jungenationalisten:4665,jungenationalisten,4665,2025-11-20T12:01:32+00:00,https://t.me/jungenationalisten/4665,2006,119,"{""❤"": 89, ""👍"": 23, ""🔥"": 7}","📌 Ursula Haverbeck - Ein Jahrhundertleben. Nachruf zum 1. Todestag
von Sascha Krolzig

Als sich in den Abendstunden des 20. November 2024 die Nachricht verbreitete, dass die Große Dame des deutschen Revisionismus, die so mutige Streiterin für Meinungs- und Forschungsfreiheit, Ursula Haverbeck, im Alter von 96 Jahren gestorben ist, war die Anteilnahme im nationalen Deutschland so überwältigend, wie es seit Jahrzehnten keiner einzelnen Person aus unseren Kreisen mehr zuteilgeworden ist – wahrscheinlich so wie seit dem Tod von Rudolf Heß nicht mehr... hier weiterlesen!

🌊 KANAL STURMZEICHEN - @sturmzeichen",-1001180598066,
jungenationalisten:4664,jungenationalisten,4664,2025-11-19T15:38:21+00:00,https://t.me/jungenationalisten/4664,2353,68,"{""🔥"": 39, ""👍"": 15, ""❤"": 13, ""👏"": 1}","Flugblattverteilung in Vorpommern -  Greifswald
@jungenationalisten

Am Wochenende verteilten Aktivisten hunderte Flugblätter ""Macher zu Macher"" in Wolgast, um auf unsere Jugendorganisation aufmerksam zu machen und eine Alternative zum derzeitigen Zeitgeist zu bieten.

Gemeinschaft, Aktivismus und Bildung bilden den Dreiklang unserer Jugendbewegung. 
Wir brauchen nicht jeden, aber vielleicht gerade dich.

Werde aktiv für Familie, Volk und Vaterland. 
Deutsche Jugend her zu uns!

JN MuP:
Folgt uns bei Telegram!",-1001180598066,
jungenationalisten:4663,jungenationalisten,4663,2025-11-18T15:18:23+00:00,https://t.me/jungenationalisten/4663,2336,68,"{""👍"": 45, ""🔥"": 12, ""❤"": 7, ""👏"": 4}","Wir stehen bereit!
@jungenationalisten

Bereits heute engagieren sich heimattreue Deutsche in der JN, um für ein besseres Deutschland einzustehen. 
Auch in MuP bildet sich nach und nach eine Gemeinschaft.

Werde Teil von etwas großem!

JN MuP:
Folgt uns bei Telegram!",-1001180598066,
jungenationalisten:4662,jungenationalisten,4662,2025-11-18T13:06:26+00:00,https://t.me/jungenationalisten/4662,2475,37,"{""👍"": 27, ""❤"": 7, ""🔥"": 3}","Heute: Offener Abend – Raum Dresden 
@jungenationalisten 🇩🇪

18. November 2025 | Ab 17:30 Uhr

Steh auf, komm dazu und reihe Dich ein! Jetzt ist die Zeit um sich miteinander zu vernetzen.

Wir bauen Stärke durch Gemeinschaft – zusammen sind wir mehr als die Summe unserer Teile!

📍 Adresse gibt’s nach Anmeldung.

Für Musik, gutes Essen und erfrischende Getränke ist gesorgt !",-1001180598066,
jungenationalisten:4661,jungenationalisten,4661,2025-11-18T11:57:18+00:00,https://t.me/jungenationalisten/4661,1994,42,"{""❤"": 34, ""👍"": 5, ""🔥"": 3}","Heimat verbindet – Wanderung in Mittelsachsen!
@jungenationalisten 🇩🇪

Am Mittwoch zum Feiertag (Buß und Bettag), dem 19.11. ruft die nächste Wanderung durch die wunderschöne Landschaften Mittelsachsens – ein Ruf, der jene erreicht, die die Schönheit unserer Heimat im Herzen tragen.

Es ist unser gemeinsames Blut, das uns als Deutsche eint, doch es sind auch Erlebnisse wie diese, die einen Menschen formen, die stolz, bewusst und ihrer Verantwortung gegenüber Heimat und Volk gewahr ist. In der stillen Größe der Natur begreifen wir die tiefe Kostbarkeit unseres Landes und die heilige Pflicht, dieses Erbe zu bewahren und an künftige Generationen weiterzugeben.

Lasst uns gemeinsam durch die ehrwürdigen Täler und Wälder schreiten, getragen von dem Wissen, dass jede Begegnung und jedes Erlebnis den Geist der Gemeinschaft stärkt und die Seele unseres Volkes nährt.

Anmeldung und weitere Infos:

WhatsApp: 015202874572
Threema: FRUAZH8V

Folge uns auf Telegram, denn wir vernetzen und informieren den Widerstand: 
https://t.me/WiderstandinAktion",-1001180598066,
jungenationalisten:4653,jungenationalisten,4653,2025-11-17T15:10:23+00:00,https://t.me/jungenationalisten/4653,2079,35,"{""❤"": 29, ""🔥"": 4, ""👏"": 2}","Heldengedenken in der Mecklenburgischen Seenplatte
@jungenationlisten
@dieheimatmv 

Am gestrigen Sonntag gingen anlässlich des Heldengedenkens, für die meisten besser bekannt als Volkstrauertag, heimattreue Aktivisten zu den Denkmälern und Gräbern unserer Ahnen.

Kränze wurden niedergelegt, Kerzen entzündet und kleine Gedenkzeremonien durchgeführt.

Während der Schweigeminute hielten wir inne, gedachten den Helden und unschuldigen Opfern unseres Volkes. 
Wir vergessen euch nicht.

Tot sind nur jene, die vergessen werden!

Sie leben!

Sie gehen durch das Land und sind nicht tot.
Wir fühlen sie in jedem Atemzug,
In unsrer Kraft, im Wollen und im Streben,
In unsrer Seele tiefem Morgenrot,
In unsres Volkes steilem Sonnenflug,
Und unsre Herzen wissen, daß sie leben.

Sie leben
In jeder Fahne, der wir folgten,
Sie leben
In jedem Stahl, in jeder Faust.
Sie leben
In allen Stürmen, die uns grau umwolkten,
Die peitschend über Deutschland hingebraust.
Sie leben
In der Mütter stillen Tränen,
Sie leben
In der Jugend heißem Dank,
Sie leben
Im Glauben, Kämpfen, Hoffen und im Sehnen,
Im deutschen Herzen als Fanfarenklang.
Sie haben uns die Kraft zum Sieg gegeben:
Sie leben!

Sie gehen durch das Land und sind nicht tot.
Sie sind uns Mahnung und sie sind uns Pflicht,
Wir Lebenden sind großer Helden Erben.
Wo ihr Gedenken hell als Flamme loht,
Führt unser Weg durch Nacht und Leid zum Licht.
So sind sie Deutschland. Deutschland wird nie sterben!

-Kurt Langner-

JN MuP:
Folgt uns bei Telegram!",-1001180598066,
jungenationalisten:4642,jungenationalisten,4642,2025-11-17T15:04:38+00:00,https://t.me/jungenationalisten/4642,1590,30,"{""❤"": 27, ""🔥"": 3}","Heldengedenken in Thüringen 
@jungenationalisten

Am gestrigen Sonntag besuchten Mitglieder und Anwärter der JN die Gräber und Denkmäler unserer Ahnen, um Kranzniederlegungen und kleine Zeremonien durchzuführen. 

In vielen Teilen des Freistaates brachten wir ein Licht für die Toten.
Tage wie diese rufen uns immer ins Gedächtnis, welche heldenhaften Taten unsere Ahnen in den vergangenen Jahrhunderten geleistet haben.

Tot sind nur jene, die vergessen werden!

Gedenkt unserer Toten
 
Gedenkt unserer tapferen Toten 
Zahlreich wie fallendes Laub 
Hinweggerafft von den Roten 
Wurde Gebein zu Erde und Staub 
 
Gedenkt unserer ruhmreichen Helden 
Ob Mann, Weib, ob noch Kind  
Sie starben in vielen Schlachten 
Leis wispert ihre Namen der Wind 
 
Gedenkt auch der edlen Taten 
Die keiner Ihnen tat gleich 
Mütter die vergeblich warten 
Auf die Helden vom Großdeutschen Reich 
 
Gedenket der deutschen Kinder 
Ihre Seelen fliegen im Licht 
Das junge Leben früh ausgehaucht 
Vergesst, vergesst sie nicht 
 
Gedenkt unsrer' treuen Soldaten 
Viele liegen noch an der Front 
Ihre Herzen wurden gebrochen 
Als Alliierte ihre Sippen zerbombt 
 
Wir gedenken der Volksgenossen 
Die Walhall einst zu sich nahm 
Als die Asen ins Horn gestoßen 
Trugen euch Walküren in ihrem Arm. 
 
Still ists um euch geworden 
Fast so, als wärs nie geschehn' 
Unser Schicksal die Nornen verwoben 
Deutschland, Deutschland wird nicht untergehn

-Karsten Sültmann-

JN Thüringen:
Folgt uns bei Telegram!",-1001180598066,
jungenationalisten:4641,jungenationalisten,4641,2025-11-17T09:23:48+00:00,https://t.me/jungenationalisten/4641,1764,68,"{""❤"": 52, ""👍"": 11, ""🔥"": 5}","Hier ein Redeauszug von Thassilo Hantusch am Immelmann Denkmal:

""1978 lud Hans Ulrich Rudel die Jungen Nationaldemokraten zur ‚feierlichen Kranzniederlegung‘ und ‚Heldenehrung‘ auf die Burg Staufenberg ein .
 
Und jetzt muss man sich die Frage stellen: Warum hat Hans Ulrich Rudel speziell die Jugen Nationaldemokraten eingeladen ?

Denn vorher war es nur Veteranen erlaubt ,an den Gedenkfeieren teilzunehmen. 
 
Natürlich wusste auch er, dass die Veteranen des Geschwaders Immelmann und er selbst eines Tages das zeitliche segnen werden.
 
Er wusste auch, dass dieses Denkmal immer wieder von linken geschändet  und die  Abrissdiskussionen nie enden würden.
 
Er hat also eine Jugend gesucht, die sich auf alle Zeit für den Erhalt dieses Denkmales einsetzt.
 
Er hat die JN als Schutzpatron für dieses Denkmal auserwählt!
 
Und ich sehe hier viele alte und junge Gesichter der JN.
 
Und das was wir heute hier tun, ist  nichts anders ,als unserer historischen Verantwortung nachzugehen.""

#jn #heimat #heldengedenken",-1001180598066,
jungenationalisten:4634,jungenationalisten,4634,2025-11-16T22:10:42+00:00,https://t.me/jungenationalisten/4634,1859,36,"{""👍"": 30, ""🔥"": 4, ""❤"": 2}","Zum diesjährigen Volkstrauertag trafen sich wieder einige treue Kameraden zusammen um den gefallenen deutschen und verbündeten Soldaten beider Weltkriege zu gedenken. Vormittags trafen sich schon junge und ältere Kameraden um ein Ehrenmal von Laub und Unkraut zu befreien. Danach wurden noch Kerzen angezündet und kurz inne gehalten. 

Zu vorgerückter Stunde wurde nochmals ein wunderschön gestaltetes Ehrenmal angesteuert. Mit reichlich Kerzen und viel Demut wurde dies mit Kerzen bestückt. Nach einer Schweigeminute wurden 2 kurze Verse vorgetragen. Ein sehr schöner Moment in sehr guter Gesellschaft von Jung bis Alt.",-1001180598066,
jungenationalisten:4626,jungenationalisten,4626,2025-11-16T22:02:54+00:00,https://t.me/jungenationalisten/4626,1488,62,"{""❤"": 44, ""👍"": 14, ""🔥"": 2, ""👏"": 2}","🏴 Heldengedenken im Harz

In den Abendstunden des 16.11. wurde im Kreis Harz ein Heldengedenken durchgeführt, an dem zahlreiche Personen teilnahmen.

Die Ansprache erinnerte an die Gefallenen und an all jene Volksgenossen, die ihr Leben in den beiden großen Kriegen verloren haben. Mit bewegenden Worten wurde die Bedeutung des gemeinsamen Erinnerns hervorgehoben.

Den Abschluss des Heldengedenkens bildete das gemeinsame Absingen des Liedes „Ich hatt’ einen Kameraden“, womit das Heldengedenken in traditioneller Weise beendet wurde.

Ehrenhaftes Gedenken statt Anpassung an den Zeitgeist!

Folgt uns auf:
🔹 Telegram
🔹 Instagram
🔹 TikTok",-1001180598066,
jungenationalisten:4616,jungenationalisten,4616,2025-11-16T21:47:20+00:00,https://t.me/jungenationalisten/4616,1634,61,"{""❤"": 45, ""👍"": 11, ""🔥"": 3, ""👏"": 2}","Überall im Land gedachten auch unsere Mitglieder beim heutigen Heldengedenken. 
Ehre wem Ehre gebührt! 

@DieHeimat 
@heimatsachsenanhalt 
@JungeNationalisten",-1001180598066,
jungenationalisten:4609,jungenationalisten,4609,2025-11-16T17:31:32+00:00,https://t.me/jungenationalisten/4609,1814,86,"{""🔥"": 55, ""👍"": 15, ""❤"": 14, ""👏"": 2}","Das Heldengedenken haben wir im Lk Celle mit anschließender Kranzniederlegung in Celle durchgeführt. 
Der zweite WK ist schon 80 Jahre her. Aus dem militärischen und moralischen Zusammenbruch entstand ein dreigeteiltes Land. Das Ende des Krieges brachte trotz schweigender Waffen keine Erlösung für unser Volk. Es war auch der Beginn einer ungewissen & leidvollen Zukunft. Die Vernichtung der deutschen Vergangenheit ging schleichend und wie ein Hammerschlag zugleich. Deutschland wurde zu seinem eigenen Feind. Das rote Gespenst aus dem Osten gegen den westlichen Imperialismus, welcher jede Werte und Moral zu Staub zerfallen lässt. Heute haben sich zwei Teile Deutschlands geschlossen - Eine Einheit konnte nicht entstehen. Das Hoffen auf ein souveränes Deutschland wurde auch den Zuversichtlichsten genommen. 80 Jahre nach dem 2. WK stehen wir wieder am Rande eines Kriegsschauplatzes; und wieder sollen europäische Völker im Kampf gegeneinander sterben. Um welchen Preis? Für wessen Interessen? 

@jungenationalisten",-1001180598066,
jungenationalisten:4602,jungenationalisten,4602,2025-11-16T12:20:25+00:00,https://t.me/jungenationalisten/4602,2039,85,"{""👍"": 50, ""❤"": 33, ""🔥"": 1, ""👏"": 1}","Döbeln: Volkstrauertag 2025 
@jungenationalisten 🇩🇪 

Hier liegen jene, denen es um Deutschlands Zukunft ging – weil Deutschlands Zukunft für sie gleichbedeutend war mit der Zukunft all derer hinter den Fronten. 

Letztlich ging es auch um uns. Sie kämpften für unsere Zukunft – im festen Glauben an eine bessere Zeit.

Sie wussten, was es bedeutet, einer Gemeinschaft anzugehören, deren Stärke aus der Tat des Einzelnen erwächst – des Einzelnen, der erkennt, dass er seine Existenz einzig dieser Gemeinschaft verdankt und nicht dem Zufall, dem lieben Gott oder der Weltwirtschaft.

Folge uns auf Telegram, denn wir vernetzen und informieren den Widerstand: 
https://t.me/WiderstandinAktion",-1001180598066,
jungenationalisten:4601,jungenationalisten,4601,2025-11-16T08:24:21+00:00,https://t.me/jungenationalisten/4601,2093,87,"{""❤"": 60, ""🔥"": 17, ""👏"": 10}","Heraus zum Heldengedenken!
@jungenationalisten",-1001180598066,
jungenationalisten:4600,jungenationalisten,4600,2025-11-13T11:21:03+00:00,https://t.me/jungenationalisten/4600,2789,70,"{""❤"": 51, ""👍"": 19}","Aus der Stille wächst ein Licht -
Volkstrauertag 2025
@jungenationalisten 🇩🇪 

Nur wenige sind es in diesen sturmumwogten Zeiten, die an die Gräber jener treten, die in den großen Kämpfen unserer Geschichte ihr Leben schützend vor die Gemeinschaft stellten. Doch diese Wenigen kennen keine Furcht in ihren Herzen. Sie wissen um ihre innere Stärke und darum, dass Disziplin, Haltung und Klarheit selbst kleinen Gruppen große Kraft verleihen können.

In diesem Bewusstsein machen sich auch zum Volkstrauertag 2025 junge Nationalisten in allen Himmelsrichtungen unseres Landes auf den Weg zu den Ruhestätten der Gefallenen – getragen von Dankbarkeit, Respekt und dem Willen, die Erinnerung lebendig zu halten.

Sendet uns eure Bilder.
Lasst uns die Botschaft wie Licht in die Weite tragen.

Nicht immer in der Geschichte unseres Volkes waren die Menschen so abgestumpft, pflichtvergessen und auf sich selbst und ihren eigenen Vorteil gerichtet, wie in jenen Tagen. Und vielleicht noch nie zuvor stand das Bekenntnis, Glied einer Jahrtausende alten Ahnenkette zu sein, so sehr unter dem Angriff des abgrundtief Bösen, dem wir nur mit der heißen Liebe zu unserem Volk begegnen können und dem immer wiederkehrenden Bekenntnis.

Nutze auch Du den Sonntag, den 16.11.2025 - in fast jeder Ortschaft steht ein Ehrenmal, das geputzt und geschmückt werden sollte. 🕯 🏴

Folge uns auf Telegram, denn wir vernetzen und informieren den Widerstand: 
https://t.me/WiderstandinAktion",-1001180598066,
jungenationalisten:4599,jungenationalisten,4599,2025-11-11T15:48:04+00:00,https://t.me/jungenationalisten/4599,2687,32,"{""👍"": 23, ""❤"": 6, ""🔥"": 3}","👉 Noch wenige Tage bis zum großen AUFGEWACHT-Kongress in Altenburg.

⚠️ Jetzt Karten bestellen und dabei sein! ⚠️

Bald ist es soweit: Der erste Kongress von AUFGEWACHT - Die Deutsche Stimme steht am 15. November 2025 in Ostthüringen (Altenburg) an. 

Mit von der Partie sind zahlreiche bekannte Gesichter der patriotischen Bewegung, die gemeinsam zu verschiedenen Themen diskutieren werden: Zum Umgang der Opposition mit den Chancen und Gefahren von KI-Technik, sowie der Frage, ob das politische System noch reformierbar ist oder vollständig überwunden gehört. Auch das heiße Eisen Migrationspolitik wird angepackt, nämlich die Fragestellung, ob der heimattreue Widerstand gezielt auf (integrierte) Migranten zugehen sollte oder nicht. 

Neben den Diskussionen gibt es spannende Impulsreferate. Außerdem sind zahlreiche Zeitschriften, Verlage und Organisationen aus dem ganzen patriotischen Spektrum mit eigenen Informationsständen vertreten, die zum Stöbern einladen. Ein perfekter Anlass, um sich selber und den Widerstand weiter zu vernetzen.

Beginn wird um 13 Uhr in Altenburg sein, der Einlass ist ab 12 Uhr möglich. 

➡️ Du willst dabei sein, aber hast noch keine Karte? Dann greif jetzt zu, hier mit wenigen Klicks online für nur 15 Euro bestellen: https://aufgewacht-magazin.de/produkt/eintrittskarte-netzwerktag-2025/",-1001180598066,
jungenationalisten:4597,jungenationalisten,4597,2025-11-10T08:27:13+00:00,https://t.me/jungenationalisten/4597,2967,46,"{""❤"": 34, ""🔥"": 12}","CADA DÍA MÁS Y MÁS FUERTES

VENCEREMOS

https://x.com/nucleonesp/status/1987247523510046742?s=46",-1001180598066,
jungenationalisten:4595,jungenationalisten,4595,2025-11-08T16:32:13+00:00,https://t.me/jungenationalisten/4595,3243,118,"{""❤"": 90, ""👍"": 23, ""🔥"": 5}","Gedenkt ihres Vermächtnisses.
https://t.me/jungenationalisten 🇩🇪 

Ursula Haverbeck wäre heute 97 Jahre alt geworden.

Ihr Andenken ist mehr als eine Erinnerung – es ist ein Leuchtfeuer in dunklen Zeiten. Während die Namen derjenigen, die zerstören, spalten und vergessen machen wollen, längst im Staub der Geschichte verwehen werden, wird ihr Name weiterklingen.

Für ihren Mut können wir nur in tiefer Ehrfurcht den Hut ziehen. Ihre Entschlossenheit, ihr unbeugsamer Wille und ihr Glaube an das Gute bleiben uns Mahnung und Ansporn zugleich. Ihre Stärke soll uns Vorbild sein – eine Quelle der Inspiration für alle, die den Mut haben, geradezustehen, wenn andere schweigen.

Ursula Haverbeck lebt fort – in den Herzen derer, die an Anstand und Aufrichtigkeit glauben. In jeder Tat, die wir für Deutschland vollbringen, lebt ihr Geist mächtig weiter.

Wie ein heller Stern am Firmament leuchtet sie uns den Weg – ein Symbol dafür, dass wahre Größe nicht vergeht, sondern weiterstrahlt, solange Menschen sich erinnern und danach handeln.

Danke Ursula! 

Folge uns auf Telegram, denn wir vernetzen und informieren den Widerstand: 
https://t.me/WiderstandinAktion",-1001180598066,
